iid,spend_online,spend_retail,age,white,college,male,hh_inc
10277,0,38.975,62,.6650619,.5088339,0,50.242
2846,49.95,65.98,47,.7992424,.7315574,0,176.563
8008,0,64,23,.6452703,.3511147,0,75.489
5527,0,44,52,.9556213,.856674,0,250.001
4207,0,14.975,24,.7800297,.5665991,0,128.75
3231,0,916.95,52,.7369534,.6168623,0,100.417
2405,489.95,819.15,41,.8100821,.6607963,0,132.188
275,135.96,135.375,21,.9311023,.5401869,0,111.25
8279,249,73,49,.9732758,.7712082,0,117.344
4239,44,223.95,37,.8882033,.4834437,0,165.096
3147,0,44.95,42,.5145849,.2518646,0,71.375
7338,0,26.4,40,.3937737,.2520843,0,16.552
4571,167,0,40,.8010789,.746315,0,61.184
7533,0,59,36,.261138,.8995648,0,117.159
1632,14,0,40,.5709729,.3039867,0,18.537
5428,0,37.785,34,.987512,.3596358,0,72.989
6408,14.975,0,84,.7737951,.2843691,0,120.192
5547,0,78,45,.7629797,.2352941,0,69.792
1659,522,0,51,.4511093,.4978903,0,59.848
6089,141.975,78,48,.9785799,.5666236,0,92.813
8824,0,64.975,56,.7509995,.5717557,0,71.563
2126,1101.625,0,47,.9311646,.4132762,0,65.848
4734,39,112.95,34,.8213257,.8230501,0,95.987
10344,0,595.975,48,.8281807,.7093352,0,48.672
9452,34.5,64,44,.7964796,.7321429,0,150.192
2866,0,49.925,38,.6078317,.7562446,0,73.75
531,78,0,19,.7730239,.549121,0,73.068
9070,0,51,48,.4455803,.1116279,0,74.444
206,88,0,23,.4465959,0,0,27.475
5598,0,39,56,.9432855,.7192118,0,147.708
3669,0,48,29,.9842795,.1914388,0,55.909
10248,88,0,41,.9300477,.5280963,0,54.412
1120,19.975,19.975,48,.7872948,.4984924,1,57.264
10537,69.975,0,40,.9163059,.8256369,0,97.813
8728,0,58.975,82,.6765746,.7996147,0,150.865
1254,14.975,0,25,.7491915,.2305555,0,56.361
1969,0,64,52,.9251208,.6793349,0,167.167
9503,44.975,0,71,1,.5711974,1,97.344
3437,0,351,50,.7770346,.8520755,0,87.121
610,84,0,47,.9754369,.0722812,0,38.51
1218,14.975,0,36,.2532943,.2546584,0,64.375
7729,26.975,353.975,41,.6201258,.8428207,0,156.05
7404,0,117,47,.8358862,.419898,0,89.485
7700,0,151.975,46,.7748846,.6654046,0,104.969
4735,0,101.975,30,.8428233,.4441624,0,112.273
5652,0,19,26,.7405941,.6543709,0,112.052
1874,0,34,61,.6152056,.6600832,0,176.136
4531,28.975,0,46,.8453159,.608828,0,131.413
9895,0,34,44,.8619551,.8448459,0,171.719
5534,29.95,0,60,.9131339,.4083677,0,90
8518,83,0,65,.9249292,.5950276,0,94.494
6999,0,54,59,1,.5349594,1,115.694
1068,64,0,40,.4885375,.491954,0,42.469
1834,24.975,18,27,.80563,.6527331,0,43.75
6506,121,39,52,.9818888,.728223,0,136.875
9732,0,156,42,.6533524,.3405173,0,62.188
9225,0,24,40,.8829353,.2026801,0,83
5333,0,19,25,.84418,.5367728,0,93.208
9804,0,4.975,40,.7995627,.5072202,0,57.159
